#{"t_start": 1668550789.767045, "env_id": "nnMeta-v40"}
r,l,t
7747.0,6,13.081195
9525.0,7,13.089922
10087.0,8,13.098856
10131.0,9,13.107561
12120.0,10,13.116142
13061.0,11,13.124993
14254.0,12,13.133476
15154.0,13,13.141958
16429.0,14,13.150409
18173.0,15,13.159217
19085.0,16,13.167533
20106.0,17,13.176149
20188.0,18,13.186284
22077.0,19,13.196566
24146.0,20,13.206653
25588.0,21,13.216359
588.0,1,13.226242
674.0,2,13.236076
2181.0,3,13.245867
4331.0,4,13.256267
5174.0,5,13.265506
7244.0,6,13.274247
7715.0,7,13.2827
9289.0,8,13.291407
10692.0,9,13.299878
11754.0,10,13.308254
13801.0,11,13.316731
14774.0,12,13.32533
16203.0,13,13.333758
17640.0,14,13.342339
18431.0,15,13.35081
19560.0,16,13.360031
20934.0,17,13.371593
21694.0,18,13.380847
21934.0,19,13.390601
23740.0,20,13.400599
25177.0,21,13.410685
292.0,1,13.420844
784.0,2,13.432316
2273.0,3,13.442246
3875.0,4,13.451587
5980.0,5,13.461041
7048.0,6,13.469662
8428.0,7,13.47825
8876.0,8,13.488756
9141.0,9,13.498116
11351.0,10,13.508618
11731.0,11,13.518047
12885.0,12,13.527794
14715.0,13,13.538219
16929.0,14,13.547435
16979.0,15,13.556146
18793.0,16,13.564654
20443.0,17,13.573127
21704.0,18,13.581443
21937.0,19,13.59003
21969.0,20,13.598479
22148.0,21,13.60698
23108.0,22,13.621301
24304.0,23,13.629802
25968.0,24,13.638373
27724.0,25,13.646564
29356.0,26,13.655233
31454.0,27,13.663511
33747.0,28,13.672031
35968.0,29,13.680263
36864.0,30,13.688891
38714.0,31,13.700829
40805.0,32,13.70921
41528.0,33,13.717421
41696.0,34,13.725996
43596.0,35,13.734434
44146.0,36,13.743077
46007.0,37,13.751496
46337.0,38,13.760039
48496.0,39,13.768389
50008.0,40,13.777048
52012.0,41,13.785449
53811.0,42,13.794149
56132.0,43,13.803323
58235.0,44,13.811711
58728.0,45,13.821217
59931.0,46,13.830819
61529.0,47,13.840327
62907.0,48,13.849849
1933.0,1,13.859462
3079.0,2,13.869733
5278.0,3,13.879436
6580.0,4,13.889395
7141.0,5,13.897965
9156.0,6,13.90696
10583.0,7,13.91517
12704.0,8,13.923849
13850.0,9,13.932544
161.0,1,13.941093
1309.0,2,13.949468
